Genes
YHR104W
YDR368W
YGR282C
YFR055W
YGL184C
YDL168W
YOL030W
YMR303C
YGR032W
YOL132W
YGL256W
YBR145W
YCR034W
YMR215W
YMR307W
YLR342W
YMR306W
YBR068C
YMR083W
YMR318C
YBR036C
YDR046C
YBR069C
YMR170C
YMR169C
YPL061W
YNR012W
YIR029W
YHR123W
YNL130C
YIR027C
YIR028W
YJR152W
YOL096C
YGL119W
YDR204W
YNR057C
YBR249C
YBR208C
YNR058W
YDR035W
YML110C
YPL274W
YGR255C
YNL003C
YOR125C
YDR242W
YML035C
YJL070C
YJR025C
YBR284W
YER175C
YGR087C
YFL053W
YML070W
YLR044C
YPL111W
YLR134W
YDR380W
YHR091C
YDL080C
YNL270C
YHR037W
YEL063C
YBR293W
YDL210W
YNR056C
YBR034C
YDR321W
YLR172C
YMR009W
YGR019W
YEL038W
YGR124W
YOR374W
YML096W
YPR145W
YER073W
YDL100C
YOR348C
YCR024C
YDR508C
YJR001W
YNL101W
YIL160C
YKL146W
YPR021C
YKL106W
YMR062C
YFL055W
YER119C
YMR226C
YCL009C
YOR126C
YCL050C
YBL015W
YGL205W
YHR063C
YBR026C
YOR332W
YER061C
YCR036W
YKL055C
YPR036W
YHR067W
YPR002W
YLR209C
YJL200C
YEL071W
YDL174C
YDL178W
YKL217W
YPL148C
YKR009C
YAL054C
YCR032W
YCR010C
YGR254W
YNL141W
YOR270C
YMR289W
YNR033W
YCR048W
YER056C
YER060W
YGL186C
YKL140W
YOL064C
YLL012W
YIL124W
YAL060W
YIL013C
YGR286C
YNL280C
YOL052C
YOR011W
YBR184W
YMR015C
YNL111C
YNR019W
YKL150W
YIL043C
YLR189C
YDR400W
YAL022C
YDR441C
YDR147W
YKL188C
YPL147W
YLR056W
YBR041W
YMR202W
YER015W
YIL009W
YDL052C
YOR303W
YOR317W
YJR109C
YKR066C
YMR246W
YJR048W
YEL039C
YIL134W
YPL087W
YFL030W
YBR183W
YOR180C
YDR297W
YKL008C
YLR284C
YGR037C
YJL196C
YMR120C
YLR028C
YGR202C
YLR372W
YGL077C
YDR148C
YLR133W
YIL125W
YFL018C
YLR377C
YDR481C
YLR307W
YLR308W
YJL155C
YNL192W
YDR111C
YBR023C
YBR291C
YLR089C
YDL142C
YMR319C
YPL265W
YJL060W
YBL013W
YCL025C
YKR039W
YOL020W
YLR011W
YEL047C
YPR062W
YJR051W
YNR001C
YPR001W
YOR120W
YCR005C
YPL069C
YBL039C
YLL043W
YJR103W
YPL189W
YGL084C
YHR096C
YHR051W
YNR072W
YHL032C
YDL067C
YDR272W
YDR345C
YOR040W
YLR038C
YFL011W
YHR092C
YGL191W
YHR094C
YIL111W
YBR121C
YNL052W
YJL214W
YMR011W
YLR395C
YBL045C
YDR529C
YEL024W
YGR256W
YBR084W
YPR191W
YPL262W
YPL110C
YGR183C
YDR513W
YJL166W
YFR033C
YDR098C
YER174C
YPL091W
YGR012W
YCL035C
YLR438W
YCR098C
YBR244W
YIR037W
YKL026C
YDL022W
YMR271C
YOL059W
YDR135C
YOR222W
YIL155C
YPL134C
YJL212C
YIL145C
YIL053W
YOL049W
YLR043C
YER062C
YLR299W
YGR209C
YBR218C
YBR020W
YBL033C
YNR008W
YBR018C
YDL238C
YOR360C
YDR399W
YHL012W
YNL071W
YGR193C
YDR536W
YBR221C
YLR081W
YER178W
YNR041C
YDL182W
YNL318C
YGR192C
YDL131W
YPL273W
YJL052W
YGR007W
YJR009C
YLL062C
YMR205C
YER141W
YGR240C
YKR067W
YBL011W
YIL107C
YOL136C
YEL011W
YER081W
YMR189W
YIL074C
YPL214C
YGL253W
YAL044C
YNR034W
YFR053C
YHR163W
YDR019C
YGR248W
YOL056W
YDL021W
YMR105C
YMR085W
YMR084W
YKL127W
YGL202W
YHR137W
YBR263W
YPR184W
YMR088C
YIL099W
YPR160W
YPR047W
YCL069W
YFR015C
YJL137C
YKR058W
YLR231C
YML075C
YLR258W
YLR450W
YOL055C
YPL258C
YDR300C
YMR250W
YPR121W
YDL215C
YNL277W
YOR375C
YAL062W
YNL037C
YCL040W
YDL171C
YER053C
YLR174W
YOL033W
YDL066W
YNL009W
YER065C
YML059C
YKR031C
YDR050C
YHR106W
YML100W
YPL040C
YCR028C
YMR261C
YMR020W
YDR074W
YML056C
YLR432W
YBR126C
YBR001C
YKR097W
YDR001C
YBR166C
YPR026W
YOR245C
YJR078W
YOL103W
YDR497C
YER019W
YER014W
YBR003W
YDR268W
YDR403W
YOR108W
YNL104C
YGR244C
YPL097W
YLR142W
YBR019C
YOR142W
YBL098W
YPL244C
YHL011C
YIR032C
YER099C
YOL151W
YOL061W
YBL068W
YGR170W
YLR382C
YNL169C
YML004C
YBR021W
YHL016C
YDR294C
YBL042C
YJR019C
YOR273C
YPR140W
YJR133W
YLL028W
YGR194C
YKL174C
YNL073W
YLR070C
YNL268W
YOR347C
YML054C
YGL063W
YPL212C
YNL117W
YIR031C
YJL216C
YBR299W
YFL001W
YGR287C
YIL066C
YGR292W
YNL292W
YER070W
YGR180C
YGR289C
YNL129W
YJL121C
YBR298C
YLR348C
YML008C
YPR006C
YKR053C
YOL126C
YJL134W
YKL085W
YDL078C
YCL064C
YLR180W
YDR502C
YJR130C
YJL068C
YBR213W
YML082W
YOR171C
YLR260W
YGR171C
YLR092W
YBR294W
YGR125W
YGR055W
YPR069C
