rxns
CITtcp
13BGH
13GS
2DDA7Ptm
2DHPtm
2HBO
2HBt2
2HMHMBQMTm
2HP6MPMOm
2HPMBQMTm
2HPMMBQMOm
2MBACt
2MBALDt
2MBALDtm
2MBTOHt
ACACT6p
2MBTOHtm
ACACT7p
2MPPALt
ACACT8p
ACACT9p
ACALDCD
ACALDt
ACALDtm
ACCOAC
AGAT_SC
AGPRim
AGTi
AHCYStm
ACCOAtn
2MPPALtm
ACESt
ACGAM6PS
AHCi
AHMMPS
AHSERL
AHSERL2
ACGAMPM
ACGKm
2OBUTtm
ACGSm
2OXOADPtim
ACHBSm
ACHLE1
2PHETOHt
ACHLE2
ACHLE3
ACLSm
2PHETOHtm
ACOAHim
34HPLFM
ACOAO4p
AICART
AIRCr
AKGDam
AKGDbm
ACOAO5p
ACOAO6p
ACOAO7p
ACOAO8p
ACOAO9p
AKGMAL
AKGt2n
AKGt2r
34HPPOR
AKGtp
AKP1
ALASm
ALATA_L
ALATA_Lm
ACOATAm
ACON3MT
ALATRS
34HPPt2m
ALAt2r
ALAtmi
ACONT
ACONT3m
ACONTm
ACOTAim
ALCD19y
ALCD22xi
ALCD22xim
34HPPt2p
ALCD22yi
ALCD23xi
ALCD23xim
ALCD23yi
ALCD24xi
ALCD24xim
ACPSm
ACS
ACSm
ACSp
ACt2r
ALCD24yi
ALCD25xi
ALCD25xim
ALCD25yi
ACtm
3C3HMPt
ACtp
ACtr
ADA
ADCL
ALCD26xi
ALCD26xim
ALCD2x_copy1
ALCD2ir
ALCD2irm
ADCS
3C3HMPtm
ADD
ADEtm
ADHAPR_SC
ALCD2x_copy2
ALDD19xr
ALDD20xm
ALDD20y
ALDD20ym
ALDD22x
ALDD2xm
ALDD2y
ALDD2ym
ADMDC
ADNK1
ADNUC
ALLTAHr
ALLTN
ALLTNti
ALLTTti
ADNt2
3C4MOPtm
ADPT
ADSK
ALPHNH
AMAOTr
ADSL1r
AMETt2
3DH5HPBMTm
AMETtm
AMID2
AMID3
ADSL2r
ADSS
AMPN
AMPDA
3DH5HPBtm
ANPRT
ATPS3v
3DSPHR
ANS
AOBUTDs
APRTO2
BACCL
3HAO
3HPH5MBDCm
ARGN
BPNT
BTDD_RR
BTDt_RR
3IPM3MT
BTNt2i
BTSr
C14STR
C22STDS
C22STDSx
C24STRer
C3STDH1
ARGSL
ARGSS
ARGTRS
ARGTRSm
ARGt2m
ARGt2r
ARGt6
ARMT
ASAD
C3STDH2
C3STKR1
C3STKR2
ASNN
C4STMO1
C4STMO2
ASNS1
3MBALDt
ASNTRS
ASNTRSm
C5STDS
C8STI
ASNt2m
ASNt2r
3MBALDtm
ASNt6
ASNt7
ASPCT
3MOBDC
ASPGLU2m
ASPGLUtp
ASPK
ASPOcm
CBASPtn
CBPS
CBPtn
CCP2m
CDPDGPm_SC
ASPTA
ASPTAm
3MOBtm
ASPTAp
ASPTRS
ASPTRSm
CDPtn
CER1_24ter
CER1_26ter
CER2_24ter
CER2_26ter
ASPt2m
ASPt2n
CERASE124er
3MOPDC
CERASE126er
ASPt2r
ASPt5n
ASPt7
CERASE224er
CERASE226er
ATHRDHr
3MOPt
CERS124
CERS124er
CERS126
CERS126er
CERS224
CERS224er
ATPPRT
CERS226
CERS226er
CITtbm
3MOPtm
CITtcm
CHLPCTD
CHLSTI
CLPNSm_SC
3OPHB5Hm
CMPN
CHLt2
CHOLK
CHORM
CHORS
CHRPL
CO2tg
CO2tp
CHTNDA
CHTNS
CITt2r
CO2tv
3OPHB_5tm
CITtam
CITtap
COAtn
4ABUTNtm
COUCOAFm
CPPPGO
4ABUTtm
DCTPD
DCYTD
4ABZt
DCYTt2
4ABZtm
DDPA
DDPAm
DESAT14
CSND
CSNt2
CSm
DGDPtn
CSp
DGGH
4H2OGLTtm
DGK1
DGSNt2
CTPS2
CTPtm
DHAD1m
4H2OGLTtp
DHAD2m
DHAK
CYOOm
CYOR_u6m
DHAPtm
DHFR
CYSS
4HBZCOAFm
CYSTGL
CYSTL
CYSTLp
CYSTRS
CYSTS
DHFRim
DHFS
DHFtm
DHNPAm
DHNPTtm
DHORD4i
DHORDfum
CYSTtp
CYSt2r
CYTD
CYTDK2
DHORDi
DHORTS
